Event	ID	Name			Wwise Object Path	Notes
	29972615	Stop_sfx_chica_ruined_vox_kitchen			\Chowda\Characters\Chica\Stop_sfx_chica_ruined_vox_kitchen	
	138917780	Stop_sfx_moonman_RN_mech_head_spin			\Default Work Unit\Stop_sfx_moonman_RN_mech_head_spin	
	216427781	Play_sfx_chica_RN_servo_head_grind			\Chowda\Characters\Chica\Play_sfx_chica_RN_servo_head_grind	
	249231100	Stop_sfx_CandyCadet_servo_RN_short			\Chowda\Characters\CandyCadet\Stop_sfx_CandyCadet_servo_RN_short	
	303110631	Play_sfx_roxy_servo_large_RN			\Chowda\Characters\Roxy\Play_sfx_roxy_servo_large_RN	
	348288960	Play_sfx_chica_servo_ruined			\Chowda\Characters\Chica\Play_sfx_chica_servo_ruined	
	350102139	Stop_sfx_chica_servo_softWhirr			\Chowda\Characters\Chica\Stop_sfx_chica_servo_softWhirr	
	374356949	Play_sunMan_warnsCassieAboutThe_Generators_movement			\Default Work Unit\Play_sunMan_warnsCassieAboutThe_Generators_movement	
	379347359	Play_MoonMan_Lullaby			\Chowda\Play_MoonMan_Lullaby	
	408383857	Play_sfx_miniMusicMan_tryPlayMusic			\Default Work Unit\Play_sfx_miniMusicMan_tryPlayMusic	
	494839266	Play_sfx_CandyCadet_servo_RN_short			\Chowda\Characters\CandyCadet\Play_sfx_CandyCadet_servo_RN_short	
	515995008	Play_cine_Chica_fallInRechargeStation			\Chowda\Cinematics\Play_cine_Chica_fallInRechargeStation	
	561288986	Stop_fly_cassie_ladder_step			\Chowda\Characters\Cassie\Stop_fly_cassie_ladder_step	
	567348033	Stop_sfx_sunman_RN_mech_general_lp			\Default Work Unit\Stop_sfx_sunman_RN_mech_general_lp	
	579580902	Play_fly_roxy_ruined_blend			\Chowda\Characters\Roxy\Play_fly_roxy_ruined_blend	
	608024622	Play_sfx_Roxy_alerted			\Default Work Unit\Play_sfx_Roxy_alerted	
	636306133	Play_sfx_sunman_RN_mech_head_spin			\Default Work Unit\Play_sfx_sunman_RN_mech_head_spin	
	686982967	Stop_sfx_freddy_servo_small_RN			\Chowda\Characters\Freddy\Stop_sfx_freddy_servo_small_RN	
	696868238	Play_fly_cassie_cloth_crouch			\Chowda\Characters\Cassie\Play_fly_cassie_cloth_crouch	
	704779530	Play_sfx_Monty_water_whoosh_add			\Default Work Unit\Play_sfx_Monty_water_whoosh_add	
